"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","019388553","Monograph","Language material ; Text","Online resource","GBB986875","","9781282875401 ; 9781441163622","","","","","Baxter, Jeannette [person]","J.G. Ballard","Death at work : the cinematic imagination of J.G. Ballard ; Disquieting features : an introductory tour of The atrocity exhibition ; From Shanghai to Shepperton : crises of representation in J.G. Ballard's Londons ; J.G. Ballard and the contemporary ; Mind is the battlefield : reading Ballard's 'Life trilogy' as war literature ; Situating the violence of J.G. Ballard's postmillennial fiction : the possibilities of sacrifice, the certainties of trauma ; The Gothic, the body, and the failed homeopathy argument : reading Crash ; The geometry of the space age : J.G. Ballard's short fiction and science fiction of the 1960s ; Visions of Europe in Cocaine nights and Super-Cannes","Contemporary critical perspectives","","England ; United States of America","London ; New York","Continuum","2008","","1 online resource (xvii, 151 pages)","823.914","ELD.DS.416813","Aufsatzsammlung ; Criticsm and interpretation","English","",""
"Ballard, J. G, 1930-2009--Homes and haunts","person","016867044","Monograph","Language material ; Still image ; Text","Volume","GBB4B5391","","9780992815707","Bollen, James H.","","person","photographer","Bollen, James H., photographer [person]","Jim's terrible city : J.G. Ballard and Shanghai","","","","England","","James H. Bollen","2014","First edition","96 pages, chiefly illustrations (black and white and colour), 24 cm","779.451132","LC.31.a.15175","Pictorial work","English","Limited edition of 1000 copies ; Title from cover",""
"Ballard, J. G, 1930-2009--Interviews","person","013086489","Monograph","Language material ; Text","Volume","GBA505294","","9781889307138","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Vale, V. [person]","Conversations","","","","United States of America","San Francisco, California","Search","2005","","358 pages, illustrations, 18 cm","828.91409","YK.2007.a.4047","Interview","English","",""
"Ballard, J. G, 1930-2009--Interviews","person","016086021","Monograph","Language material ; Text","Volume","GBB246800","","9780007454853","Ballard, J. G.","1930-2009","person","","O'Hara, Daniel Finbarr John, 1972- [person] ; Ballard, J. G., 1930-2009 [person] ; Sellars, Simon [person]","Extreme metaphors : selected interviews with J.G. Ballard, 1967-2008","","","","England","London","Fourth Estate","2012","","xxiii, 503 pages, 24 cm","823.914","YC.2013.a.7204","Interview","English","",""
"Ballard, J. G, 1930-2009--Interviews","person","016256756","Monograph","Language material ; Still image ; Text","Volume","GBB305811","","9780985762513","","","","","Ballard, J. G., 1930-2009 [person] ; Black, Candice, editor [person] ; Ballard, J. G., 1930-2009, artist ; author ; interviewee [person]","Terminal atrocity zone : Ballard","Advertiser's announcements ; Coitus 80 ; Journey across a crater","","","Thailand","Bangkok","Sun Vision","2013","","1 volume, black and white illustrations, 23 cm","823.914","","Interview","English","",""
"Ballard, J. G, 1930-2009--Interviews","person","016536302","Monograph","Language material ; Text","Volume","GBB3A0613","","9780007454860","Ballard, J. G.","1930-2009","person","author","O'Hara, Daniel Finbarr John, 1972-, editor [person] ; Ballard, J. G., 1930-2009, author [person] ; Sellars, Simon, editor [person]","Extreme metaphors : selected interviews with J.G. Ballard, 1967-2008","Works. Selections","","","England","London","Fourth Estate","2014","","503 pages, 20 cm","823.914","","Interview","English","Includes index ; Originally published: 2012",""
"Ballard, J. G, 1930-2009--Political and social views","person","018225059","Monograph","Language material ; Text","Volume","","","9783110487893 ; 9783110488302 ; 9783110490718","Cord, Florian","","person","author","Cord, Florian, author [person]","J.G. Ballard's politics : late capitalism, power and the pataphysics of resistance","","Buchreihe der Anglia Anglia Book Series","volume 54 [Buchreihe der Anglia Anglia Book Series]","Germany","Berlin","Gruyter","2017","","264 pages, 24 cm","","PP.5044.aa. (2) [Bd.54]","","English","",""
"Ballard, J. G, 1930-2009--Quotations","person","013086488","Monograph","Language material ; Text","Volume","GBA505293","","9781889307121","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Vale, V. [person] ; Barrado, Ana [person]","Quotes","","","","United States of America","San Francisco, California","Search","2004","","414 pages, illustrations, 18 cm","828.91402","YK.2007.a.11243","Quotation or maxim","English","",""
"Ballard, J. G. (James Graham), 1930-","person","019934373","Monograph","Language material ; Text","Online resource","GBC0E5781","","9781838715168","Sinclair, Iain","","person","","British Film Institute [organisation] ; Sinclair, Iain [person]","Crash : David Cronenberg's post-mortem on J.G. Ballard's 'Trajectory of fate'","Atrocity Exhibitions -- ; Cronenberg's Crash -- ; J.G. Ballard and James Ballard -- ; Liquid Mirror: Ballard Dissolves to Cronenberg -- ; Novel as Audition Piece -- ; The Other Crash Films -- ; The Trajectory of Fate ; White Nights on the Bauhaus Balcony --","BFI modern classics","","England ; United Kingdom","London","British Film Institute","2019","","1 online resource (112 pages)","791.4372","ELD.DS.550757","Criticsm and interpretation","English","",""
"Ballard, James G","person","019388553","Monograph","Language material ; Text","Online resource","GBB986875","","9781282875401 ; 9781441163622","","","","","Baxter, Jeannette [person]","J.G. Ballard","Death at work : the cinematic imagination of J.G. Ballard ; Disquieting features : an introductory tour of The atrocity exhibition ; From Shanghai to Shepperton : crises of representation in J.G. Ballard's Londons ; J.G. Ballard and the contemporary ; Mind is the battlefield : reading Ballard's 'Life trilogy' as war literature ; Situating the violence of J.G. Ballard's postmillennial fiction : the possibilities of sacrifice, the certainties of trauma ; The Gothic, the body, and the failed homeopathy argument : reading Crash ; The geometry of the space age : J.G. Ballard's short fiction and science fiction of the 1960s ; Visions of Europe in Cocaine nights and Super-Cannes","Contemporary critical perspectives","","England ; United States of America","London ; New York","Continuum","2008","","1 online resource (xvii, 151 pages)","823.914","ELD.DS.416813","Aufsatzsammlung ; Criticsm and interpretation","English","",""
"Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556","person","040-000000695","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000128.0x000144","","","","","","","Angela Carter Papers: Miscellaneous works","","","","","","","[1979]-1991, nd","","1 file","","Western Manuscripts. Add MS 88899/2/10","","English","Miscellaneous works by others. 1. Interview with J. G. Ballard, recorded on 14th June 1979 by David Pringle; [1979]. Typewritten fair copy. 2. Michelle Cliff, 'Caliban's Daughter: The Tempest and the Teapot'; n.d. Word-processed fair copy, sent to Angela Carter on 5 July 1991. 3. David Skynner, 'Three Apples Fell From Heaven: A Proposal for a Feature Film'; [1988]. Word-processed fair copy. 4. Caroline Parent: proposal for a film in the French series Photo-Romans; 1990. Word-processed fair copy. 5. 'The Always Incestuous Father of the Bride'; n.d. Word-processed, lightly annotated (not in Angela Carter's hand). Author unidentified. 6. 'The Woodcutter's Son'; n.d. Typewritten fair copy. Author unidentified. 7. Computer-generated comic strip by Martin Salisbury based on Angela Carter's story 'Lady Purple'; 1988. With covering letter. See Add MS 88899/1/25. 8. 'A Book of Amulets for Angela', drawings by Rikki Ducornet, University of Denver; 1991",""
"Barbier, Gilles, 1965---Exhibitions","person","013035790","Monograph","Language material ; Text","Volume","","","9782868479747","","","","","Ballard, J. G., 1930-2009 [person] ; Galerie Art & essai [organisation]","Doubtiful, dans les plis du réel : Gilles Barbier, François Curlet, Leandro Erlich, Carsten Höller, Didier Marcel, Aernout Mik, Amy O'Neil, Cerith Wyn Evans","","Collection Métiers de l'exposition","","France","Rennes","Presses universitaires de Rennes","2004","","144 pages, colour illustrations, 23 cm","","YF.2005.a.15715","Exhibition","French","'Publication éditée à l'occasion de l'exposition présentée à la galerie art et essai de l'université Rennes 2 du 19 mai au 26 juin 2004'--Prelim. p",""
"Bildungsromans","general term","014100189","Monograph","Language material ; Text","Volume","GBA783541","","9780007268405","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","The Perennial collection","","England","London","Harper Perennial","2008","","351, 31 pages, 20 cm","823.914","H.2008/2388","Fiction","English","Originally published: London: Gollancz, 1984",""
"Blackwood, Algernon, 1869-1951","person","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"Blackwood, Algernon, 1869-1951--Criticism and interpretation","person","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"Boys--China--Shanghai--Fiction","general term","013332131","Monograph","Language material ; Text","Volume","GBA594639","","9780007221523","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","Harper Perennial modern classics","","England","London","Harper Perennial","2006","","351 pages, 20 cm","823.914","H.2006/1736","Bildungsroman ; Fiction","English","Originally published: London: Gollancz, 1984",""
"Boys--China--Shanghai--Fiction","general term","014100189","Monograph","Language material ; Text","Volume","GBA783541","","9780007268405","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","The Perennial collection","","England","London","Harper Perennial","2008","","351, 31 pages, 20 cm","823.914","H.2008/2388","Fiction","English","Originally published: London: Gollancz, 1984",""
"Boys--China--Shanghai--Fiction","general term","015565821","Monograph","Language material ; Text","Volume","GBB066737","","9780007378333","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","","","England","London","Fourth Estate","2010","Special commemorative edition","1 volume, 24 cm","823.914","","Bildungsroman ; Fiction","English","Originally published: London: Gollancz, 1984",""
"Boys--Fiction","general term","016659420","Monograph","Language material ; Text","Volume","","","9780671530518","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Empire of the Sun : a novel","","","","United States of America","New York","Simon & Schuster","1984","","279 pages, 25 cm","823.914","YD.2014.a.1223","Bildungsroman","English","Sequel: The kindness of women",""
"Boys--Fiction","general term","016659424","Monograph","Language material ; Text","Volume","GBB436825","","9780743265232","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Empire of the Sun : a novel","","","","United States of America","New York","Simon & Schuster","2005","First Simon and Schuster paperbacks edition","279 pages, 22 cm","823.914","YD.2014.a.1225","Bildungsroman ; Fiction","English","Originally published: 1984",""
"British Science Fiction Literature--20th Century--Critical Essays","general term","015118840","Monograph","Language material ; Text","Volume","","","9782915453478","","","","","Ballard, J. G., 1930-2009 [person] ; Schmidt, Jérôme [person] ; Notéris, Emilie [person]","J.G. Ballard : hautes altitudes","","","","France","Alfortville","","2008","","216 pages, illustrations, 19 cm","823.914","YF.2012.a.13231","","French","",""
